"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (EUR)","@ qty","Minimum Quantity","Packaging","Series","Type","Material - Core","Inductance","Tolerance","Current Rating","Current - Saturation","Shielding","DC Resistance (DCR)","Q @ Freq","Frequency - Self Resonant","Operating Temperature","Frequency - Test","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Supplier Device Package"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLCV25T%20SERIES.jpg","445-1755-1-ND","NLCV25T-3R3M-PF","TDK Corporation","INDUCTOR POWER 3.3UH 1008",10933,0,"0.22000",0,1,"Cut Tape (CT)","NLCV","Wirewound","-","3.3µH","±20%","340mA","-","Unshielded","650 mOhm","20 @ 7.96MHz","55MHz","-40°C ~ 105°C","7.96MHz","Surface Mount","1008 (2520 Metric)","0.098"" L x 0.079"" W (2.50mm x 2.00mm)","0.075"" (1.90mm)","1008 (2520 Metric)"
"http://www.tdk.co.jp/tefe02/e531_vls.pdf","http://media.digikey.com/Renders/TDK%20Renders/VLS25201.jpg","445-6636-1-ND","VLS252012ET-1R0N","TDK Corporation","INDUCTOR POWER 1.0UH 2.45A SMD",45301,0,"0.43000",0,1,"Cut Tape (CT)","VLS","Wirewound","Ferrite","1µH","±30%","1.7A","2.2A","Shielded","87 mOhm Max","-","-","-40°C ~ 105°C","1MHz","Surface Mount","1008 (2520 Metric)","0.098"" L x 0.079"" W (2.50mm x 2.00mm)","0.039"" (1.00mm)","1008 (2520 Metric)"
"http://www.tdk.co.jp/tefe02/e531_vls.pdf","http://media.digikey.com/Renders/TDK%20Renders/VLS25201.jpg","445-6638-1-ND","VLS252012ET-2R2M","TDK Corporation","INDUCTOR POWER 2.2UH 1.75A SMD",20547,0,"0.43000",0,1,"Cut Tape (CT)","VLS","Wirewound","Ferrite","2.2µH","±20%","1.3A","1.55A","Shielded","154 mOhm Max","-","-","-40°C ~ 105°C","1MHz","Surface Mount","1008 (2520 Metric)","0.098"" L x 0.079"" W (2.50mm x 2.00mm)","0.039"" (1.00mm)","1008 (2520 Metric)"
"http://www.tdk.co.jp/tefe02/e531_vls.pdf","http://media.digikey.com/Renders/TDK%20Renders/VLS25201.jpg","445-6627-1-ND","VLS252010ET-1R0N","TDK Corporation","INDUCTOR POWER 1.0UH 1.9A SMD",5640,0,"0.43000",0,1,"Cut Tape (CT)","VLS","Wirewound","Ferrite","1µH","±30%","1.75A","1.75A","Shielded","84 mOhm Max","-","-","-40°C ~ 105°C","1MHz","Surface Mount","1008 (2520 Metric)","0.098"" L x 0.079"" W (2.50mm x 2.00mm)","0.039"" (1.00mm)","1008 (2520 Metric)"
"http://media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/vls252012.pdf","http://media.digikey.com/Renders/TDK%20Renders/VLS25201.jpg","445-3672-1-ND","VLS252012T-4R7MR81","TDK Corporation","INDUCTOR POWER 4.7UH .81A SMD",52001,0,"0.65000",0,1,"Cut Tape (CT)","VLS","Wirewound","-","4.7µH","±20%","800mA","1.2A","Shielded","406 mOhm Max","-","-","-40°C ~ 105°C","1MHz","Surface Mount","1008 (2520 Metric)","0.098"" L x 0.079"" W (2.50mm x 2.00mm)","0.039"" (1.00mm)","1008 (2520 Metric)"
"http://media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/vls252012.pdf","http://media.digikey.com/Renders/TDK%20Renders/VLS25201.jpg","445-3670-1-ND","VLS252012T-2R2M1R3","TDK Corporation","INDUCTOR POWER 2.2UH 1.3A SMD",47675,0,"0.65000",0,1,"Cut Tape (CT)","VLS","Wirewound","-","2.2µH","±20%","1.3A","1.8A","Shielded","155 mOhm Max","-","-","-40°C ~ 105°C","1MHz","Surface Mount","1008 (2520 Metric)","0.098"" L x 0.079"" W (2.50mm x 2.00mm)","0.039"" (1.00mm)","1008 (2520 Metric)"
"http://media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/VLS252010.pdf","http://media.digikey.com/Renders/TDK%20Renders/VLS25201.jpg","445-4245-1-ND","VLS252010T-1R0N","TDK Corporation","INDUCTOR POWER 1.0UH 1.7A SMD",17486,0,"0.66000",0,1,"Cut Tape (CT)","VLS","Wirewound","Ferrite","1µH","±30%","1.7A","1.8A","Shielded","85 mOhm Max","-","-","-40°C ~ 105°C","1MHz","Surface Mount","1008 (2520 Metric)","0.098"" L x 0.079"" W (2.50mm x 2.00mm)","0.039"" (1.00mm)","1008 (2520 Metric)"
"http://product.tdk.com/inductor/ind/en/documents/inductor_commercial_standard_nlv_en.pdf","http://media.digikey.com/photos/TDK%20Photos/NLV25T%20SERIES.jpg","445-1741-1-ND","NLV25T-220J-PF","TDK Corporation","INDUCTOR POWER 22UH 1008",38092,0,"0.22000",0,1,"Cut Tape (CT)","NLV","Wirewound","-","22µH","±5%","125mA","-","Unshielded","5.5 Ohm Max","25 @ 2.52MHz","22MHz","-40°C ~ 105°C","2.52MHz","Surface Mount","1008 (2520 Metric)","0.098"" L x 0.079"" W (2.50mm x 2.00mm)","0.075"" (1.90mm)","1008 (2520 Metric)"
"http://product.tdk.com/inductor/ind/en/documents/inductor_commercial_standard_nlv_en.pdf","http://media.digikey.com/photos/TDK%20Photos/NLV25T%20SERIES.jpg","445-1729-1-ND","NLV25T-2R2J-PF","TDK Corporation","INDUCTOR POWER 2.2UH 1008",34902,0,"0.22000",0,1,"Cut Tape (CT)","NLV","Wirewound","-","2.2µH","±5%","200mA","-","Unshielded","1.55 Ohm Max","30 @ 7.96MHz","105MHz","-40°C ~ 105°C","7.96MHz","Surface Mount","1008 (2520 Metric)","0.098"" L x 0.079"" W (2.50mm x 2.00mm)","0.075"" (1.90mm)","1008 (2520 Metric)"
"http://product.tdk.com/inductor/ind/en/documents/inductor_commercial_standard_nlv_en.pdf","http://media.digikey.com/photos/TDK%20Photos/NLV25T%20SERIES.jpg","445-1749-1-ND","NLV25T-101J-PF","TDK Corporation","INDUCTOR POWER 100UH 1008",27267,0,"0.22000",0,1,"Cut Tape (CT)","NLV","Wirewound","-","100µH","±5%","60mA","-","Unshielded","21 Ohm Max","15 @ 796kHz","12MHz","-40°C ~ 105°C","796kHz","Surface Mount","1008 (2520 Metric)","0.098"" L x 0.079"" W (2.50mm x 2.00mm)","0.075"" (1.90mm)","1008 (2520 Metric)"
