Reference	Value (lower bound)	Value	Value (upper bound)	Tolerance (lower bound)	Tolerance (upper bound)	rel. tol?	Footprint	Datasheets	Digi-Key Part Number	Manufacturer Part Number	Manufacturer	Voltage (V)	Tolerance	Temperature Coefficent	Price											
C	9.500000e-012	1.000000e-011	1.050000e-011	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C100JC8NNNC.pdf	1276-2157-1-ND	CL10C100JC8NNNC	Samsung Electro-Mechanics America, Inc	nan	100V	±5%	-55°C ~ 125°C	0.10000	~									
C	7.500000e-012	8.000000e-012	8.500000e-012	-5.000000e-013	5.000000e-013	0	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C080DB8NCNC.pdf	1276-2140-1-ND	CL10C080DB8NCNC	Samsung Electro-Mechanics America, Inc	nan	50V	±0.5pF	-55°C ~ 125°C	0.10000	~									
C	9.000000e-009	1.000000e-008	1.100000e-008	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B103KB8NNWC.pdf	1276-1923-1-ND	CL10B103KB8NNWC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	9.000000e-008	1.000000e-007	1.100000e-007	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B104KO8NFNC.pdf	1276-1938-1-ND	CL10B104KO8NFNC	Samsung Electro-Mechanics America, Inc	nan	16V	±10%	-55°C ~ 125°C	0.10000	~									
C	4.465000e-010	4.700000e-010	4.935000e-010	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C471JB8NCNC.pdf	1276-2302-1-ND	CL10C471JB8NCNC	Samsung Electro-Mechanics America, Inc	nan	50V	±5%	-55°C ~ 125°C	0.10000	~									
C	9.000000e-009	1.000000e-008	1.100000e-008	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B103KB8SFNC.pdf	1276-1924-1-ND	CL10B103KB8SFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	9.000000e-010	1.000000e-009	1.100000e-009	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B102KB8NNWC.pdf	1276-1915-1-ND	CL10B102KB8NNWC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	8.000000e-010	1.000000e-009	1.200000e-009	-2.000000e-001	2.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B102MB8NNNC.pdf	1276-1918-1-ND	CL10B102MB8NNNC	Samsung Electro-Mechanics America, Inc	nan	50V	±20%	-55°C ~ 125°C	0.10000	~									
C	9.000000e-008	1.000000e-007	1.100000e-007	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B104KA8NNWC.pdf	1276-1932-1-ND	CL10B104KA8NNWC	Samsung Electro-Mechanics America, Inc	nan	25V	±10%	-55°C ~ 125°C	0.10000	~									
C	9.000000e-008	1.000000e-007	1.100000e-007	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B104KA8NFNC.pdf	1276-1931-1-ND	CL10B104KA8NFNC	Samsung Electro-Mechanics America, Inc	nan	25V	±10%	-55°C ~ 125°C	0.10000	~									
C	2.430000e-008	2.700000e-008	2.970000e-008	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B273KB8SFNC.pdf	1276-2026-1-ND	CL10B273KB8SFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	7.380000e-009	8.200000e-009	9.020000e-009	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B822KB8SFNC.pdf	1276-2120-1-ND	CL10B822KB8SFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	6.460000e-011	6.800000e-011	7.140000e-011	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C680JB8NFNC.pdf	1276-2325-1-ND	CL10C680JB8NFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±5%	-55°C ~ 125°C	0.10000	~									
C	7.790000e-011	8.200000e-011	8.610000e-011	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C820JB8NFNC.pdf	1276-2343-1-ND	CL10C820JB8NFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±5%	-55°C ~ 125°C	0.10000	~									
C	1.350000e-008	1.500000e-008	1.650000e-008	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B153KA8NNNC.pdf	1276-1963-1-ND	CL10B153KA8NNNC	Samsung Electro-Mechanics America, Inc	nan	25V	±10%	-55°C ~ 125°C	0.10000	~									
C	1.350000e-008	1.500000e-008	1.650000e-008	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B153KB8NFNC.pdf	1276-1965-1-ND	CL10B153KB8NFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	4.465000e-011	4.700000e-011	4.935000e-011	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C470JB8NNWC.pdf	1276-2298-1-ND	CL10C470JB8NNWC	Samsung Electro-Mechanics America, Inc	nan	50V	±5%	-55°C ~ 125°C	0.10000	~									
C	4.465000e-011	4.700000e-011	4.935000e-011	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C470JB8NFNC.pdf	1276-2297-1-ND	CL10C470JB8NFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±5%	-55°C ~ 125°C	0.10000	~									
C	5.320000e-011	5.600000e-011	5.880000e-011	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C560JB8NFNC.pdf	1276-2313-1-ND	CL10C560JB8NFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±5%	-55°C ~ 125°C	0.10000	~									
C	5.040000e-011	5.600000e-011	6.160000e-011	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C560KB8NNNC.pdf	1276-2314-1-ND	CL10C560KB8NNNC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	1.800000e-008	2.000000e-008	2.200000e-008	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B203KB8NNNC.pdf	1276-1984-1-ND	CL10B203KB8NNNC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	4.230000e-009	4.700000e-009	5.170000e-009	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B472KB8NNWC.pdf	1276-2065-1-ND	CL10B472KB8NNWC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	4.230000e-009	4.700000e-009	5.170000e-009	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B472KA8NNNC.pdf	1276-2062-1-ND	CL10B472KA8NNNC	Samsung Electro-Mechanics America, Inc	nan	25V	±10%	-55°C ~ 125°C	0.10000	~									
C	4.230000e-009	4.700000e-009	5.170000e-009	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B472KB8NFNC.pdf	1276-2064-1-ND	CL10B472KB8NFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	8.000000e-008	1.000000e-007	1.200000e-007	-2.000000e-001	2.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B104MB8NFNC.pdf	1276-1940-1-ND	CL10B104MB8NFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±20%	-55°C ~ 125°C	0.10000	~									
C	1.425000e-011	1.500000e-011	1.575000e-011	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C150JB8NFNC.pdf	1276-2191-1-ND	CL10C150JB8NFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±5%	-55°C ~ 125°C	0.10000	~									
C	9.500000e-012	1.000000e-011	1.050000e-011	-5.000000e-013	5.000000e-013	0	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C100DB8NNNC.pdf	1276-2151-1-ND	CL10C100DB8NNNC	Samsung Electro-Mechanics America, Inc	nan	50V	±0.5pF	-55°C ~ 125°C	0.10000	~									
C	9.500000e-011	1.000000e-010	1.050000e-010	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C101JB8NNWC.pdf	1276-2165-1-ND	CL10C101JB8NNWC	Samsung Electro-Mechanics America, Inc	nan	50V	±5%	-55°C ~ 125°C	0.10000	~									
C	9.000000e-011	1.000000e-010	1.100000e-010	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C101KB8NNNC.pdf	1276-2167-1-ND	CL10C101KB8NNNC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	1.350000e-011	1.500000e-011	1.650000e-011	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C150KB8NNNC.pdf	1276-2193-1-ND	CL10C150KB8NNNC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	9.000000e-008	1.000000e-007	1.100000e-007	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B104KB8NFNC.pdf	1276-1934-1-ND	CL10B104KB8NFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	9.000000e-008	1.000000e-007	1.100000e-007	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B104KB8NNWC.pdf	1276-1935-1-ND	CL10B104KB8NNWC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	1.350000e-008	1.500000e-008	1.650000e-008	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B153KB8NNWC.pdf	1276-1966-1-ND	CL10B153KB8NNWC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	1.710000e-010	1.800000e-010	1.890000e-010	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C181JB8NNWC.pdf	1276-2215-1-ND	CL10C181JB8NNWC	Samsung Electro-Mechanics America, Inc	nan	50V	±5%	-55°C ~ 125°C	0.10000	~									
C	1.710000e-010	1.800000e-010	1.890000e-010	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C181JB8NFNC.pdf	1276-2214-1-ND	CL10C181JB8NFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±5%	-55°C ~ 125°C	0.10000	~									
C	3.135000e-011	3.300000e-011	3.465000e-011	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C330JB8NNWC.pdf	1276-2266-1-ND	CL10C330JB8NNWC	Samsung Electro-Mechanics America, Inc	nan	50V	±5%	-55°C ~ 125°C	0.10000	~									
C	7.500000e-012	8.000000e-012	8.500000e-012	-5.000000e-013	5.000000e-013	0	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C080DB8NNNC.pdf	1276-2141-1-ND	CL10C080DB8NNNC	Samsung Electro-Mechanics America, Inc	nan	50V	±0.5pF	-55°C ~ 125°C	0.10000	~									
C	3.135000e-011	3.300000e-011	3.465000e-011	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C330JB8NFNC.pdf	1276-2265-1-ND	CL10C330JB8NFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±5%	-55°C ~ 125°C	0.10000	~									
C	3.510000e-009	3.900000e-009	4.290000e-009	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B392KB8SFNC.pdf	1276-2052-1-ND	CL10B392KB8SFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	1.425000e-010	1.500000e-010	1.575000e-010	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C151JB8NNNC.pdf	1276-1280-1-ND	CL10C151JB8NNNC	Samsung Electro-Mechanics America, Inc	nan	50V	±5%	-55°C ~ 125°C	0.10000	~									
C	1.980000e-009	2.200000e-009	2.420000e-009	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B222KB8NFNC.pdf	1276-1990-1-ND	CL10B222KB8NFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	1.980000e-009	2.200000e-009	2.420000e-009	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B222KB8NNWC.pdf	1276-1991-1-ND	CL10B222KB8NNWC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	1.425000e-010	1.500000e-010	1.575000e-010	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C151JB8NFNC.pdf	1276-2200-1-ND	CL10C151JB8NFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±5%	-55°C ~ 125°C	0.10000	~									
C	1.425000e-010	1.500000e-010	1.575000e-010	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C151JB8NNWC.pdf	1276-2201-1-ND	CL10C151JB8NNWC	Samsung Electro-Mechanics America, Inc	nan	50V	±5%	-55°C ~ 125°C	0.10000	~									
C	3.135000e-010	3.300000e-010	3.465000e-010	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C331JC8NNNC.pdf	1276-2274-1-ND	CL10C331JC8NNNC	Samsung Electro-Mechanics America, Inc	nan	100V	±5%	-55°C ~ 125°C	0.10000	~									
C	9.500000e-012	1.000000e-011	1.050000e-011	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C100JB8NNWC.pdf	1276-2156-1-ND	CL10C100JB8NNWC	Samsung Electro-Mechanics America, Inc	nan	50V	±5%	-55°C ~ 125°C	0.10000	~									
C	9.500000e-012	1.000000e-011	1.050000e-011	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C100JB8NFNC.pdf	1276-2155-1-ND	CL10C100JB8NFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±5%	-55°C ~ 125°C	0.10000	~									
C	2.090000e-011	2.200000e-011	2.310000e-011	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C220JB8NFNC.pdf	1276-2228-1-ND	CL10C220JB8NFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±5%	-55°C ~ 125°C	0.10000	~									
C	1.900000e-011	2.000000e-011	2.100000e-011	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C200JB8NNNC.pdf	1276-1187-1-ND	CL10C200JB8NNNC	Samsung Electro-Mechanics America, Inc	nan	50V	±5%	-55°C ~ 125°C	0.10000	~									
C	2.970000e-008	3.300000e-008	3.630000e-008	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B333KB8NFNC.pdf	1276-2040-1-ND	CL10B333KB8NFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	2.970000e-008	3.300000e-008	3.630000e-008	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B333KO8NFNC.pdf	1276-2043-1-ND	CL10B333KO8NFNC	Samsung Electro-Mechanics America, Inc	nan	16V	±10%	-55°C ~ 125°C	0.10000	~									
C	2.970000e-008	3.300000e-008	3.630000e-008	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B333KO8NNNC.pdf	1276-2044-1-ND	CL10B333KO8NNNC	Samsung Electro-Mechanics America, Inc	nan	16V	±10%	-55°C ~ 125°C	0.10000	~									
C	2.970000e-008	3.300000e-008	3.630000e-008	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B333KO8NNWC.pdf	1276-2045-1-ND	CL10B333KO8NNWC	Samsung Electro-Mechanics America, Inc	nan	16V	±10%	-55°C ~ 125°C	0.10000	~									
C	4.230000e-008	4.700000e-008	5.170000e-008	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B473KA8NNNC.pdf	1276-2073-1-ND	CL10B473KA8NNNC	Samsung Electro-Mechanics America, Inc	nan	25V	±10%	-55°C ~ 125°C	0.10000	~									
C	4.230000e-008	4.700000e-008	5.170000e-008	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B473KB8NNWC.pdf	1276-2076-1-ND	CL10B473KB8NNWC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	4.230000e-008	4.700000e-008	5.170000e-008	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B473KO8NFNC.pdf	1276-2078-1-ND	CL10B473KO8NFNC	Samsung Electro-Mechanics America, Inc	nan	16V	±10%	-55°C ~ 125°C	0.10000	~									
C	4.230000e-008	4.700000e-008	5.170000e-008	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B473KO8NNWC.pdf	1276-2080-1-ND	CL10B473KO8NNWC	Samsung Electro-Mechanics America, Inc	nan	16V	±10%	-55°C ~ 125°C	0.10000	~									
C	4.230000e-008	4.700000e-008	5.170000e-008	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B473KB8SFNC.pdf	1276-2077-1-ND	CL10B473KB8SFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	1.710000e-011	1.800000e-011	1.890000e-011	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C180JB8NFNC.pdf	1276-2209-1-ND	CL10C180JB8NFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±5%	-55°C ~ 125°C	0.10000	~									
C	6.120000e-009	6.800000e-009	7.480000e-009	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B682KB8NNNC.pdf	1276-1185-1-ND	CL10B682KB8NNNC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	6.120000e-009	6.800000e-009	7.480000e-009	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B682KB8NFNC.pdf	1276-2101-1-ND	CL10B682KB8NFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	6.120000e-009	6.800000e-009	7.480000e-009	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B682KB8NNWC.pdf	1276-2102-1-ND	CL10B682KB8NNWC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	1.980000e-010	2.200000e-010	2.420000e-010	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B221KB8NNNC.pdf	1276-1145-1-ND	CL10B221KB8NNNC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	2.970000e-009	3.300000e-009	3.630000e-009	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B332KB8NNNC.pdf	1276-1758-1-ND	CL10B332KB8NNNC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	1.080000e-009	1.200000e-009	1.320000e-009	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B122KB8NFNC.pdf	1276-1950-1-ND	CL10B122KB8NFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	1.080000e-009	1.200000e-009	1.320000e-009	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B122KB8NNWC.pdf	1276-1952-1-ND	CL10B122KB8NNWC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	1.980000e-010	2.200000e-010	2.420000e-010	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B221KB8NFNC.pdf	1276-1986-1-ND	CL10B221KB8NFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	2.970000e-009	3.300000e-009	3.630000e-009	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B332KB8NFNC.pdf	1276-2032-1-ND	CL10B332KB8NFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	2.970000e-009	3.300000e-009	3.630000e-009	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B332KB8NNWC.pdf	1276-2033-1-ND	CL10B332KB8NNWC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	2.640000e-009	3.300000e-009	3.960000e-009	-2.000000e-001	2.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B332MB8NNNC.pdf	1276-2036-1-ND	CL10B332MB8NNNC	Samsung Electro-Mechanics America, Inc	nan	50V	±20%	-55°C ~ 125°C	0.10000	~									
C	5.040000e-010	5.600000e-010	6.160000e-010	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B561KB8NNWC.pdf	1276-2089-1-ND	CL10B561KB8NNWC	Samsung Electro-Mechanics America, Inc	nan	50V	±10%	-55°C ~ 125°C	0.10000	~									
C	4.465000e-010	4.700000e-010	4.935000e-010	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C471JB8NFNC.pdf	1276-2303-1-ND	CL10C471JB8NFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±5%	-55°C ~ 125°C	0.10000	~									
C	4.465000e-010	4.700000e-010	4.935000e-010	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C471JB8NNWC.pdf	1276-2304-1-ND	CL10C471JB8NNWC	Samsung Electro-Mechanics America, Inc	nan	50V	±5%	-55°C ~ 125°C	0.10000	~									
C	6.460000e-010	6.800000e-010	7.140000e-010	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C681JB8NFNC.pdf	1276-2329-1-ND	CL10C681JB8NFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±5%	-55°C ~ 125°C	0.10000	~									
C	6.300000e-012	6.800000e-012	7.300000e-012	-5.000000e-013	5.000000e-013	0	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C6R8DB8NNNC.pdf	1276-2334-1-ND	CL10C6R8DB8NNNC	Samsung Electro-Mechanics America, Inc	nan	50V	±0.5pF	-55°C ~ 125°C	0.10000	~									
C	9.750000e-012	1.000000e-011	1.025000e-011	-2.500000e-013	2.500000e-013	0	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C100CB81PNC.pdf	1276-2149-1-ND	CL10C100CB81PNC	Samsung Electro-Mechanics America, Inc	nan	50V	±0.25pF	-55°C ~ 125°C	0.10000	~									
C	1.980000e-007	2.200000e-007	2.420000e-007	-1.000000e-001	1.000000e-001	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10B224KP8NFNC.pdf	1276-2013-1-ND	CL10B224KP8NFNC	Samsung Electro-Mechanics America, Inc	nan	10V	±10%	-55°C ~ 125°C	0.10000	~									
C	9.500000e-010	1.000000e-009	1.050000e-009	-5.000000e-002	5.000000e-002	2	0603 (1608 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL10C102JB8NFNC.pdf	1276-2170-1-ND	CL10C102JB8NFNC	Samsung Electro-Mechanics America, Inc	nan	50V	±5%	-55°C ~ 125°C	0.10000	~									
